地區一,地區一用語,地區二,地區二用語,討論連結
TW,OK繃,CN,创可贴,
TW,三溫暖,CN,桑拿,
TW,上司,CN,领导,
TW,不客氣,CN,沒事,
TW,主機板,CN,主板,
TW,乙太網路,CN,以太网,
TW,交流道,CN,立交桥,
TW,人工智慧,CN,人工智能,
TW,伺服器,CN,服务器,
TW,位元,CN,比特,
TW,位元組,CN,字节,
TW,作業系統,CN,操作系统,
TW,使用者介面,CN,用户界面,
TW,便當,CN,盒饭,
TW,保全,CN,保安,
TW,保固,CN,保修,
TW,保險套,CN,避孕套,
TW,健保,CN,医保,
TW,優格,CN,酸奶酪,
TW,光碟,CN,光盘,
TW,光碟機,CN,光驱,
TW,免洗筷,CN,一次性筷子,
TW,入口網站,CN,门户网站,
TW,全形,CN,全角,
TW,全球資訊網,CN,万维网,
TW,公事包,CN,公文包,
TW,公車,CN,公交,
TW,冰淇淋,CN,冰激凌,
TW,分期付款,CN,月供,
TW,列印,CN,打印,
TW,副檔名,CN,扩展名,
TW,加護病房,CN,重症监护室,
TW,勞保,CN,社保,
TW,包廂,CN,包間,
TW,北韓,CN,朝鲜,
TW,匯流排,CN,总线,
TW,區域網路,CN,局域网,
TW,半形,CN,半角,
TW,原始碼,CN,源码,
TW,原子筆,CN,圆珠笔,
TW,厲害,CN,牛,
TW,叫車,CN,打的,
TW,向量,CN,矢量,
TW,咖哩,CN,咖喱,
TW,品質,CN,质量,
TW,唬爛,CN,忽悠,
TW,唯讀記憶體,CN,只读存储器,
TW,圓環,CN,环岛,
TW,坎城,CN,戛纳,
TW,執行長,CN,首席执行官,
TW,報到櫃檯,CN,值机岛,
TW,塑膠,CN,塑料,
TW,太空,CN,空間,
TW,太空人,CN,宇航員,
TW,好用,CN,好使,
TW,子母畫面,CN,画中画,
TW,學姊,CN,師姐,
TW,學長,CN,師兄,
TW,宵夜,CN,夜宵,
TW,寶特瓶,HK,胶樽,
TW,小三,CN,二奶,
TW,尖峰時間,CN,高峰时间,
TW,工作列,CN,任务栏,
TW,平交道,CN,铁路道口,
TW,平行埠,CN,并行端口,
TW,序列埠,CN,串行端口,
TW,廁所,CN,卫生间,
TW,延遲,CN,推迟,
TW,引擎,CN,发动机,
TW,影片,CN,视频,https://github.com/pingooo/han/issues/1
TW,徒步區,CN,步行街,
TW,懸吊,CN,悬架,
TW,所有權狀,CN,所有权证,
TW,打檔,CN,挂挡,
TW,扭力,CN,扭矩,
TW,扯鈴,CN,空竹,
TW,技術支援,CN,技术支持,
TW,捐血,CN,献血,
TW,捷運,CN,地铁,
TW,掃瞄器,CN,扫描仪,
TW,接頭,CN,端子,
TW,搖桿,CN,控制杆,
TW,撞球,CN,台球,
TW,擴大機,CN,功放,
TW,攝影機,CN,摄像机,
TW,數位,CN,数字,
TW,數據機,CN,调制解调器,
TW,文書處理,CN,文字处理,
TW,智慧型手機,CN,智能手机,
TW,曖昧,CN,猫腻,
TW,柳丁,CN,橙子,
TW,機上盒,CN,机顶盒,
TW,機車,CN,摩托车,
TW,水上芭蕾,CN,花样游泳,
TW,水準,CN,水平,
TW,沙拉油,CN,色拉油,
TW,泡麵,CN,方便面,
TW,洗板,CN,刷屏,
TW,洗面乳,CN,洗面奶,
TW,洗髮精,CN,洗发水,
TW,深喉嚨,CN,深喉,
TW,滑鼠,CN,鼠标,
TW,火星塞,CN,火花塞,
TW,無線電話,CN,无绳电话,
TW,瓦斯,CN,煤气,
TW,生理食鹽水,CN,生理盐水,
TW,番茄,CN,西紅杮,
TW,當機,CN,死机,
TW,登機門,CN,登机口,
TW,發票,CN,小票,
TW,真空管,CN,电子管,
TW,硬碟,CN,硬盘,
TW,硬體,CN,硬件,
TW,社區,CN,小区,
TW,社群,CN,社区,
TW,程式,CN,程序,
TW,積體電路,CN,集成电路,
TW,立刻,CN,立馬,
TW,筆記型電腦,CN,笔记本电脑,
TW,簡訊,CN,短信,
TW,紐西蘭,CN,新西兰,
TW,組合語言,CN,汇编语言,
TW,網咖,CN,网吧,
TW,網路,CN,网络,
TW,網路銀行,CN,网上银行,
TW,網際網路,CN,互联网,
TW,置入性行銷,CN,植入性营销,
TW,老饕,CN,吃货,
TW,自動販賣機,CN,自动售货机,
TW,航廈,CN,航站楼,
TW,花椰菜,CN,西兰花,
TW,虛擬實境,CN,虚拟现实,
TW,螢幕,CN,屏幕,
TW,行動電源,CN,移动电源,
TW,行車執照,CN,行驶证,
TW,衛生棉,CN,卫生巾,
TW,視訊電話,CN,视频电话,
TW,解析度,CN,分辨率,
TW,計程車,CN,出租车,
TW,訊息,CN,信息,
TW,記憶體,CN,內存,
TW,警察,CN,公安,
TW,變壓器,HK,火牛,
TW,變速箱,CN,波箱,
TW,變速箱,MY,牙箱,
TW,豬血,CN,猪紅,
TW,貨櫃,CN,集装箱,
TW,資料,CN,数据,
TW,資料夾,CN,文件夹,
TW,資料庫,CN,数据库,
TW,資料探勘,CN,数据挖掘,
TW,超音波,CN,超声波,
TW,軟碟,CN,软盘,
TW,軟體,CN,软件,
TW,辦公大樓,CN,写字楼,
TW,通信協定,CN,通信协议,
TW,道地,CN,地道,
TW,避震器,CN,减震器,
TW,部落客,CN,博主,
TW,部落格,CN,博客,
TW,郵遞區號,CN,邮政编码,
TW,金氏世界紀錄,CN,吉尼斯世界纪录,
TW,錄影,CN,录像,
TW,鏡頭,CN,摄像头,
TW,開發中國家,CN,发展中国家,
TW,閘道器,CN,网关,
TW,隨身碟,CN,U盘,
TW,雪梨,CN,悉尼,
TW,雲端運算,CN,云计算,
TW,雲霄飛車,CN,过山车,
TW,雷射,CN,激光,
TW,電晶體,CN,晶体管,
TW,韌體,CN,固件,
TW,音效卡,CN,声卡,
TW,頂客族,CN,丁客族,
TW,頻寬,CN,带宽,
TW,飯店,CN,酒店,
TW,馬上,CN,立馬,
TW,馬鈴薯,CN,土豆,
TW,駕訓班,CN,驾校,
TW,高畫質,CN,高清,
TW,高空彈跳,CN,蹦极,
TW,高階語言,CN,高级语言,
TW,鮭魚,CN,三文魚,
TW,鳳梨,CN,菠萝,
TW,鷹架,CN,脚手架,
TW,黑盒子,CN,黑匣子,
